eng,dog
por,cão
spa,perro
fra,chien
deu,Hund
zho,狗
jpn,犬
ara,كلب
heb,כלב
rus,собака
hin,कुत्ता
kor,개
swa,mbwa
tur,köpek
ell,σκύλος
pol,pies
nld,hond
ron,câine
hun,kutya
vie,chó
tha,หมา
ind,anjing
fin,koira
est,koer
lav,suns
lit,šuo
bel,сабака
ukr,собака
srp,куче
ces,pes
slk,pes
isl,hundur
nor,hund
swe,hund
cym,ci
mlt,kelb
sqi,qen
zul,inja
xho,ukudla
sna,imbwa
lug,mbwa
kik,njau
bod,ཁྱི
aze,it
kaz,ит
tat,эт
nah,xolo
quc,tzʼiʼ
tgl,aso
hat,chen
uzb,it
nya,galu
fij,koli
kur,se
kat,ძაღლი
ber,ayt
scn,gaddu
nya,njoka
cja,chó
ton,mbwene
xog,mbuli
dua,mbʉ
bem,imbwe
amh,ashun
pan,ਕੁੱਤਾ
luo,mbwá
uig,it
ain,inu
hyr,𓃥
emo,🐶
san,शुनकः
tam,நாய்
ben,কুকুর
sin,බල්ලා
ori,କୁକୁର
kan,ನಾಯಿ
tel,కుక్క
mar,कुत्रा
guj,કૂતરો
tlh,targh
