English,dog
Portuguese,cão
Spanish,perro
French,chien
German,Hund
Chinese,狗
Japanese,犬
Arabic,كلب
Hebrew,כלב
Russian,собака
Hindi,कुत्ता
Korean,개
Swahili,mbwa
Turkish,köpek
Greek,σκύλος
Polish,pies
Dutch,hond
Romanian,câine
Hungarian,kutya
Vietnamese,chó
Thai,หมา
Indonesian,anjing
Finnish,koira
Estonian,koer
Latvian,suns
Lithuanian,šuo
Belarusian,сабака
Ukrainian,собака
Serbian,куче
Czech,pes
Slovak,pes
Icelandic,hundur
Norwegian,hund
Swedish,hund
Welsh,ci
Maltese,kelb
Albanian,qen
Zulu,inja
Xhosa,ukudla
Shona,imbwa
Luganda,mbwa
Kikuyu,njau
Tibetan,ཁྱི
Azerbaijani,it
Kazakh,ит
Tatar,эт
Nahuatl,xolo
Kʼicheʼ,tzʼiʼ
Tagalog,aso
Haitian Creole,chen
Uzbek,it
Chichewa,galu
Fijian,koli
Kurdish,se
Georgian,ძაღლი
Berber,ayt
Sicilian,gaddu
Chewa,njoka
Cham,chó
Tonga,mbwene
Lugisu,mbuli
Duala,mbʉ
Bemba,imbwe
Amharic,ashun
Punjabi,ਕੁੱਤਾ
Luo,mbwá
Uyghur,it
Ainu,inu
Egyptian,𓃥
Emoji,🐶
Sanskrit,शुनकः
Tamil,நாய்
Bengali,কুকুর
Sinhala,බල්ලා
Oriya,କୁକୁର
Kannada,ನಾಯಿ
Telugu,కుక్క
Marathi,कुत्रा
Gujarati,કૂતરો
